sessionId,raceId,year,round,positionDisplayOrder,positionNumber,points,polePosition,status,driverNumber,driverId,constructorId,laps,time,timeMillis,gapMillis,gapLaps,fastestLap,fastestLapNumber,fastestLapTime,fastestLapTimeMillis,averageSpeed
fa-10,fa-2,2023,2,3,3,,False,,9,chloe-grant,art-grand-prix,8,1:35.435,95435,215,,False,8,,,151.1
fa-10,fa-2,2023,2,4,4,,False,,6,amna-al-qubaisi,mp-motorsport,9,1:35.819,95819,599,,False,5,,,150.5
fa-10,fa-2,2023,2,5,5,,False,,11,jessica-edgar,rodin-carlin,9,1:35.942,95942,722,,False,5,,,150.3
fa-10,fa-2,2023,2,6,6,,False,,7,lena-buhler,art-grand-prix,7,1:36.168,96168,948,,False,4,,,149.9
fa-10,fa-2,2023,2,7,7,,False,,14,chloe-chong,prema-racing,10,1:36.183,96183,963,,False,4,,,149.9
fa-10,fa-2,2023,2,8,8,,False,,16,bianca-bustamante,prema-racing,8,1:36.636,96636,1416,,False,4,,,149.2
fa-10,fa-2,2023,2,9,9,,False,,3,maite-caceres,campos-racing,8,1:36.754,96754,1534,,False,6,,,149.0
fa-10,fa-2,2023,2,10,10,,False,,12,megan-gilkes,rodin-carlin,9,1:36.880,96880,1660,,False,3,,,148.8
fa-10,fa-2,2023,2,11,11,,False,,5,emely-de-heus,mp-motorsport,8,1:40.418,100418,5198,,False,2,,,143.6
fa-11,fa-2,2023,2,1,1,,False,,15,marta-garcia,prema-racing,8,1:34.683,94683,,,False,4,,,152.3
fa-11,fa-2,2023,2,2,2,,False,,10,abbi-pulling,rodin-carlin,8,1:34.912,94912,229,,False,4,,,151.9
fa-11,fa-2,2023,2,3,3,,False,,1,nerea-marti,campos-racing,7,1:35.020,95020,337,,False,4,,,151.7
fa-11,fa-2,2023,2,4,4,,False,,11,jessica-edgar,rodin-carlin,9,1:35.080,95080,397,,False,4,,,151.6
fa-11,fa-2,2023,2,5,5,,False,,7,lena-buhler,art-grand-prix,8,1:34.234,94234,551,,False,7,,,151.4
fa-11,fa-2,2023,2,6,6,,False,,9,chloe-grant,art-grand-prix,9,1:35.441,95441,758,,False,4,,,151.1
fa-11,fa-2,2023,2,7,7,,False,,6,amna-al-qubaisi,mp-motorsport,9,1:35.456,95456,773,,False,5,,,151.0
fa-11,fa-2,2023,2,8,8,,False,,3,maite-caceres,campos-racing,9,1:35.579,95579,896,,False,6,,,150.8
fa-11,fa-2,2023,2,9,9,,False,,2,lola-lovinfosse,campos-racing,6,1:35.660,95660,977,,False,3,,,150.7
fa-11,fa-2,2023,2,10,10,,False,,14,chloe-chong,prema-racing,8,1:35.979,95979,1296,,False,4,,,150.2
fa-11,fa-2,2023,2,11,11,,False,,12,megan-gilkes,rodin-carlin,9,1:36.288,96288,1605,,False,3,,,149.7
fa-12,fa-2,2023,2,1,1,26,False,,4,hamda-al-qubaisi,mp-motorsport,17,27:02.443,1622443,,,True,6,1:34.809,94809,151.1
fa-12,fa-2,2023,2,2,2,20,True,,1,nerea-marti,campos-racing,17,27:09.606,1629606,7163,,False,3,1:34.926,94926,150.4
fa-12,fa-2,2023,2,3,3,15,False,,7,lena-buhler,art-grand-prix,17,27:11.977,1631977,9534,,False,4,1:35.130,95130,150.2
fa-12,fa-2,2023,2,4,4,12,False,,9,chloe-grant,art-grand-prix,17,27:15.642,1635642,13190,,False,4,1:35.386,95386,149.9
fa-12,fa-2,2023,2,5,5,10,False,,16,bianca-bustamante,prema-racing,17,27:18.972,1638972,16520,,False,5,1:35.424,95424,149.5
fa-12,fa-2,2023,2,6,6,8,False,,15,marta-garcia,prema-racing,17,27:19.351,1639351,16900,,False,5,1:35.169,95169,149.5
fa-12,fa-2,2023,2,7,7,6,False,,6,amna-al-qubaisi,mp-motorsport,17,27:21.193,1641193,18750,,False,9,1:35.382,95382,149.3
fa-12,fa-2,2023,2,8,8,4,False,,12,megan-gilkes,rodin-carlin,17,27:29.129,1649129,26680,,False,8,1:36.137,96137,148.6
